_id,anno,Consumo pro capite tipo,Consumo pro capite
1,2011,Energia elettrica per uso domestico,1196.10
2,2011,Gas metano per uso domestico e riscaldamento,377.9
3,2011,Acqua fatturata per uso domestico,83.1
4,2010,Energia elettrica per uso domestico,1200.70
5,2010,Gas metano per uso domestico e riscaldamento,406.2
6,2010,Acqua fatturata per uso domestico,83.2
7,2009,Energia elettrica per uso domestico,1202.90
8,2009,Gas metano per uso domestico e riscaldamento,389.6
9,2009,Acqua fatturata per uso domestico,85.8
10,2008,Energia elettrica per uso domestico,1203.00
11,2008,Gas metano per uso domestico e riscaldamento,384.9
12,2008,Acqua fatturata per uso domestico,84.5
13,2007,Energia elettrica per uso domestico,1197.00
14,2007,Gas metano per uso domestico e riscaldamento,381.1
15,2007,Acqua fatturata per uso domestico,81.6
16,2006,Energia elettrica per uso domestico,1219.70
17,2006,Gas metano per uso domestico e riscaldamento,431.3
18,2006,Acqua fatturata per uso domestico,82.2
19,2005,Energia elettrica per uso domestico,1225.00
20,2005,Gas metano per uso domestico e riscaldamento,434.5
21,2005,Acqua fatturata per uso domestico,81.3
22,2004,Energia elettrica per uso domestico,1228.60
23,2004,Gas metano per uso domestico e riscaldamento,442.4
24,2004,Acqua fatturata per uso domestico,80.4
25,2003,Energia elettrica per uso domestico,1222.80
26,2003,Gas metano per uso domestico e riscaldamento,480.2
27,2003,Acqua fatturata per uso domestico,87.3
28,2002,Energia elettrica per uso domestico,1195.50
29,2002,Gas metano per uso domestico e riscaldamento,504.2
30,2002,Acqua fatturata per uso domestico,90.4
31,2001,Energia elettrica per uso domestico,1143.90
32,2001,Gas metano per uso domestico e riscaldamento,500.7
33,2001,Acqua fatturata per uso domestico,91.3
34,2000,Energia elettrica per uso domestico,1130.20
35,2000,Gas metano per uso domestico e riscaldamento,509
36,2000,Acqua fatturata per uso domestico,92.1
