_id,Anno,Tipo gestione,Tipologia di Area (valore in MQ),Metri Quadri
1,2011,Gestione Comunale,Aree naturali protette,35323
2,2011,Gestione Comunale,Ville giardini e parchi,843972
3,2011,Gestione Comunale,Parchi (giardini e ville) urbani,5189752
4,2011,Gestione Comunale,Verde attrezzato,5577510
5,2011,Gestione Comunale,Aree di arredo urbano,3260240
6,2011,Gestione Comunale,Forestazione urbana,0
7,2011,Gestione Comunale,Giardini scolastici comunali ,1359750
8,2011,Gestione Comunale,Orti botanici,46430
9,2011,Gestione Comunale,Orti urbani,2930
10,2011,Gestione Comunale,Cimiteri,567270
11,2011,Gestione Comunale,Aree all'aperto sportive e a servizio ludico ricreativo,26580
12,2011,Gestione Comunale,Altre tipologie di verde urbano,375810
13,2011,Gestione di altri enti pubblici,Aree naturali protette,0
14,2011,Gestione di altri enti pubblici,Ville giardini e parchi,9919
15,2011,Gestione di altri enti pubblici,Parchi (giardini e ville) urbani,3875174
16,2011,Gestione di altri enti pubblici,Verde attrezzato,287300
17,2011,Gestione di altri enti pubblici,Aree di arredo urbano,68870
18,2011,Gestione di altri enti pubblici,Forestazione urbana,140310
19,2011,Gestione di altri enti pubblici,Giardini scolastici comunali ,18570
20,2011,Gestione di altri enti pubblici,Orti botanici,0
21,2011,Gestione di altri enti pubblici,Orti urbani,34580
22,2011,Gestione di altri enti pubblici,Cimiteri,0
23,2011,Gestione di altri enti pubblici,Aree all'aperto sportive e a servizio ludico ricreativo,0
24,2011,Gestione di altri enti pubblici,Altre tipologie di verde urbano,65300
25,2012,Gestione Comunale,Aree naturali protette,35323
26,2012,Gestione Comunale,Ville giardini e parchi,843972
27,2012,Gestione Comunale,Parchi (giardini e ville) urbani,5205380
28,2012,Gestione Comunale,Verde attrezzato,5606515
29,2012,Gestione Comunale,Aree di arredo urbano,3426327
30,2012,Gestione Comunale,Forestazione urbana,0
31,2012,Gestione Comunale,Giardini scolastici comunali ,1369087
32,2012,Gestione Comunale,Orti botanici,46488
33,2012,Gestione Comunale,Orti urbani,2813
34,2012,Gestione Comunale,Cimiteri,609297
35,2012,Gestione Comunale,Aree all'aperto sportive e a servizio ludico ricreativo,7603
36,2012,Gestione Comunale,Altre tipologie di verde urbano,375603
37,2012,Gestione di altri enti pubblici,Aree naturali protette,0
38,2012,Gestione di altri enti pubblici,Ville giardini e parchi,9919
39,2012,Gestione di altri enti pubblici,Parchi (giardini e ville) urbani,4103997
40,2012,Gestione di altri enti pubblici,Verde attrezzato,282632
41,2012,Gestione di altri enti pubblici,Aree di arredo urbano,92885
42,2012,Gestione di altri enti pubblici,Forestazione urbana,140313
43,2012,Gestione di altri enti pubblici,Giardini scolastici comunali ,21071
44,2012,Gestione di altri enti pubblici,Orti botanici,0
45,2012,Gestione di altri enti pubblici,Orti urbani,36700
46,2012,Gestione di altri enti pubblici,Cimiteri,0
47,2012,Gestione di altri enti pubblici,Aree all'aperto sportive e a servizio ludico ricreativo,19098
48,2012,Gestione di altri enti pubblici,Altre tipologie di verde urbano,67397
49,2013,Gestione Comunale,Aree naturali protette,35323
50,2013,Gestione Comunale,Ville giardini e parchi,845948
51,2013,Gestione Comunale,Parchi (giardini e ville) urbani,5207138
52,2013,Gestione Comunale,Verde attrezzato,5761923
53,2013,Gestione Comunale,Aree di arredo urbano,3296585
54,2013,Gestione Comunale,Forestazione urbana,0
55,2013,Gestione Comunale,Giardini scolastici comunali ,1363808
56,2013,Gestione Comunale,Orti botanici,45843
57,2013,Gestione Comunale,Orti urbani,2893
58,2013,Gestione Comunale,Cimiteri,619498
59,2013,Gestione Comunale,Aree all'aperto sportive e a servizio ludico ricreativo,7599
60,2013,Gestione Comunale,Altre tipologie di verde urbano,372829
61,2013,Gestione di altri enti pubblici,Aree naturali protette,0
62,2013,Gestione di altri enti pubblici,Ville giardini e parchi,9919
63,2013,Gestione di altri enti pubblici,Parchi (giardini e ville) urbani,4088807
64,2013,Gestione di altri enti pubblici,Verde attrezzato,384995
65,2013,Gestione di altri enti pubblici,Aree di arredo urbano,125338
66,2013,Gestione di altri enti pubblici,Forestazione urbana,140313
67,2013,Gestione di altri enti pubblici,Giardini scolastici comunali ,20322
68,2013,Gestione di altri enti pubblici,Orti botanici,0
69,2013,Gestione di altri enti pubblici,Orti urbani,49946
70,2013,Gestione di altri enti pubblici,Cimiteri,0
71,2013,Gestione di altri enti pubblici,Aree all'aperto sportive e a servizio ludico ricreativo,18987
72,2013,Gestione di altri enti pubblici,Altre tipologie di verde urbano,80082
73,2014,Gestione Comunale,Aree naturali protette,35323
74,2014,Gestione Comunale,Ville giardini e parchi,845952
75,2014,Gestione Comunale,Parchi (giardini e ville) urbani,5221016
76,2014,Gestione Comunale,Verde attrezzato,5912185
77,2014,Gestione Comunale,Aree di arredo urbano,3283846
78,2014,Gestione Comunale,Forestazione urbana,0
79,2014,Gestione Comunale,Giardini scolastici comunali ,1371932
80,2014,Gestione Comunale,Orti botanici,45853
81,2014,Gestione Comunale,Orti urbani,4365
82,2014,Gestione Comunale,Cimiteri,621271
83,2014,Gestione Comunale,Aree all'aperto sportive e a servizio ludico ricreativo,132259
84,2014,Gestione Comunale,Altre tipologie di verde urbano,367990
85,2014,Gestione di altri enti pubblici,Aree naturali protette,0
86,2014,Gestione di altri enti pubblici,Ville giardini e parchi,9919
87,2014,Gestione di altri enti pubblici,Parchi (giardini e ville) urbani,4202438
88,2014,Gestione di altri enti pubblici,Verde attrezzato,467663
89,2014,Gestione di altri enti pubblici,Aree di arredo urbano,61784
90,2014,Gestione di altri enti pubblici,Forestazione urbana,140313
91,2014,Gestione di altri enti pubblici,Giardini scolastici comunali ,21203
92,2014,Gestione di altri enti pubblici,Orti botanici,0
93,2014,Gestione di altri enti pubblici,Orti urbani,59760
94,2014,Gestione di altri enti pubblici,Cimiteri,0
95,2014,Gestione di altri enti pubblici,Aree all'aperto sportive e a servizio ludico ricreativo,22491
96,2014,Gestione di altri enti pubblici,Altre tipologie di verde urbano,98972
97,2015,Gestione Comunale,Aree naturali protette,35323
98,2015,Gestione Comunale,Ville giardini e parchi,846177
99,2015,Gestione Comunale,Parchi (giardini e ville) urbani,5067537
100,2015,Gestione Comunale,Verde attrezzato,6103718
101,2015,Gestione Comunale,Aree di arredo urbano,3399865
102,2015,Gestione Comunale,Forestazione urbana,0
103,2015,Gestione Comunale,Giardini scolastici comunali ,1354212
104,2015,Gestione Comunale,Orti botanici,46800
105,2015,Gestione Comunale,Orti urbani,4417
