_id,UN_VOL_AV,ID_EDIF,area,proprieta,Classifica,LONG_X_4326_CENTROID,LAT_Y_4326_CENTROID,Location
1,15.74,E00000014223,89.2826,Dato non in possesso,Insediamenti residenziali,9.184728600674912,45.458275099157916,"(45.458275099157916, 9.184728600674912)"
2,30.29,E00000015319,440.926,Dato non in possesso,Insediamenti residenziali,9.18988588418239,45.460031695138106,"(45.460031695138106, 9.18988588418239)"
3,26.693,E00000016108,133.542,Dato non in possesso,Insediamenti residenziali,9.19092903472668,45.46164782081594,"(45.46164782081594, 9.19092903472668)"
4,15.558,E00000030504,361.646,Dato non in possesso,Insediamenti residenziali,9.185039185856768,45.457975631789665,"(45.457975631789665, 9.185039185856768)"
5,15.749,E00000014141,119.931,Dato non in possesso,Insediamenti residenziali,9.18473163281631,45.45807674660788,"(45.45807674660788, 9.18473163281631)"
6,32.403,E00000015970,222.3,Dato non in possesso,Insediamenti residenziali,9.190396523570973,45.461697311389585,"(45.461697311389585, 9.190396523570973)"
7,34.041,E00000024052,271.845,Dato non in possesso,Insediamenti residenziali,9.21791776339132,45.475460007592886,"(45.475460007592886, 9.21791776339132)"
8,21.255,E00000023498,54.9782,Dato non in possesso,Insediamenti residenziali,9.210483358314706,45.47421315014812,"(45.47421315014812, 9.210483358314706)"
9,16.25,E00000052954,36.6464,Dato non in possesso,Insediamenti residenziali,9.206903300633725,45.48387586585848,"(45.48387586585848, 9.206903300633725)"
10,19.5,E00000052954,54.3214,Dato non in possesso,Insediamenti residenziali,9.206954592945259,45.48384218696453,"(45.48384218696453, 9.206954592945259)"
11,18.02,E00000023498,163.924,Dato non in possesso,Insediamenti residenziali,9.210386451898426,45.474306516208486,"(45.474306516208486, 9.210386451898426)"
12,24.281,E00000023498,54.9169,Dato non in possesso,Insediamenti residenziali,9.210439227569452,45.47426215394077,"(45.47426215394077, 9.210439227569452)"
13,24.01,E00000004241,474.916,Dato non in possesso,Insediamenti residenziali,9.194661149765166,45.47229291911566,"(45.47229291911566, 9.194661149765166)"
14,17.956,E00000023489,49.268,Dato non in possesso,Insediamenti residenziali,9.21012011362747,45.474263186606436,"(45.474263186606436, 9.21012011362747)"
15,15.76,E00000005024,127.706,Dato non in possesso,Insediamenti residenziali,9.175931412453604,45.42829998220457,"(45.42829998220457, 9.175931412453604)"
16,30.37,E00000028795,813.055,Dato non in possesso,Insediamenti residenziali,9.186251439775011,45.44045348956478,"(45.44045348956478, 9.186251439775011)"
17,14.17,E00000005024,50.7485,Dato non in possesso,Insediamenti residenziali,9.175748807177039,45.42823149659734,"(45.42823149659734, 9.175748807177039)"
18,14.17,E00000005024,54.5378,Dato non in possesso,Insediamenti residenziali,9.175770002644388,45.42838942661577,"(45.42838942661577, 9.175770002644388)"
19,23.927,E00000031661,371.19,Dato non in possesso,Insediamenti residenziali,9.15045465716027,45.46762515739429,"(45.46762515739429, 9.15045465716027)"
20,21.883,E00000014189,73.0011,Dato non in possesso,Insediamenti residenziali,9.13226431510817,45.45720257851665,"(45.45720257851665, 9.13226431510817)"
21,20.179,E00000013893,76.0791,Dato non in possesso,Insediamenti residenziali,9.155697025597105,45.45755426687655,"(45.45755426687655, 9.155697025597105)"
22,26.715,E00000013893,64.5263,Dato non in possesso,Insediamenti residenziali,9.155426241977965,45.45749878550602,"(45.45749878550602, 9.155426241977965)"
23,18.601,E00000014189,76.9967,Dato non in possesso,Insediamenti residenziali,9.132429123319906,45.456886114844764,"(45.456886114844764, 9.132429123319906)"
24,19.79,E00000031230,65.2671,Dato non in possesso,Insediamenti residenziali,9.217978438586753,45.46502941453272,"(45.46502941453272, 9.217978438586753)"
25,20.005,E00000018862,127.357,Dato non in possesso,Insediamenti residenziali,9.205439860827342,45.465748123291114,"(45.465748123291114, 9.205439860827342)"
26,22.3,E00000014024,264.09,Dato non in possesso,Insediamenti residenziali,9.185382146557695,45.458187736699216,"(45.458187736699216, 9.185382146557695)"
27,17.802,E00000014429,72.9312,Dato non in possesso,Insediamenti residenziali,9.17853212578144,45.45885550466473,"(45.45885550466473, 9.17853212578144)"
28,16.957,E00000018173,23.3626,Dato non in possesso,Edifici scolastici,9.218265431617047,45.46467949406069,"(45.46467949406069, 9.218265431617047)"
29,27.443,E00000017220,187.803,Dato non in possesso,Insediamenti residenziali,9.187106964892939,45.46299374011639,"(45.46299374011639, 9.187106964892939)"
30,15.74,E00000014222,191.091,Dato non in possesso,Insediamenti residenziali,9.185156107389668,45.45839541856156,"(45.45839541856156, 9.185156107389668)"
31,5.012,E00000013957,84.8548,Dato non in possesso,Insediamenti residenziali,9.179678225070218,45.45803889244899,"(45.45803889244899, 9.179678225070218)"
32,5.506,E00000018859,125.564,Dato non in possesso,Insediamenti residenziali,9.205219327197451,45.46589051122851,"(45.46589051122851, 9.205219327197451)"
33,15.003,E00000013106,129.205,Dato non in possesso,Insediamenti residenziali,9.176710663015044,45.45623054950704,"(45.45623054950704, 9.176710663015044)"
34,25.497,E00000014431,342.987,COMUNE MILANO,Insediamenti residenziali,9.180436273328047,45.457897856952286,"(45.457897856952286, 9.180436273328047)"
35,21.586,E00000030720,104.057,Dato non in possesso,Insediamenti residenziali,9.178471000501416,45.459398639782556,"(45.459398639782556, 9.178471000501416)"
36,12.31,E00000030504,87.6108,Dato non in possesso,Edifici scolastici,9.184879232760148,45.457937337191765,"(45.457937337191765, 9.184879232760148)"
